區域,2015,2016,2017,2018,2019,2020
臺東縣長濱鄉,4.31,5.23,5.35,4.83,4.51,3.29
臺東縣關山鎮,5.54,6.17,5.47,4.69,5.89,4.82
臺東縣鹿野鄉,5.4,4.96,5.64,4.93,6.05,4.57
花蓮縣,8.1,8.09,7.19,7.33,7.43,6.69
花蓮縣光復鄉,6.1,5.33,5.71,5.44,4.83,6.97
花蓮縣卓溪鄉,11.82,12.66,15.24,13.93,15,13.73
花蓮縣吉安鄉,7.87,8.16,7.21,6.86,7.02,6.25
花蓮縣壽豐鄉,7.49,7.52,6.41,6.37,7.33,5.43
花蓮縣富里鄉,7.08,5.38,5.26,5.7,5.58,4.78
花蓮縣新城鄉,10.75,10.55,8.83,8.36,8.3,7.25
花蓮縣玉里鎮,7.06,7.53,5.25,6.2,6.21,5.79
花蓮縣瑞穗鄉,5.25,7.08,5.99,8.11,6.09,6.43
花蓮縣秀林鄉,14.83,14.93,13.27,13.96,14.89,13.18
花蓮縣花蓮市,7.84,7.35,6.62,6.98,6.82,5.86
花蓮縣萬榮鄉,11.12,11.94,9.43,10.06,8.5,10.86
花蓮縣豐濱鄉,4.56,6.45,6.36,4.62,5,3.4
花蓮縣鳳林鎮,5.65,5.6,5.76,5.77,9.06,8.03
苗栗縣,10.17,8.47,6.91,6.07,5.63,5.14
苗栗縣三灣鄉,8.77,7.64,4.7,6.85,6.53,4.02
苗栗縣三義鄉,9.06,7.32,6.23,5.81,6.65,6.07
苗栗縣公館鄉,9.35,7.7,7.14,5.62,5.46,4.75
苗栗縣卓蘭鎮,10.47,8.15,6.58,6.27,5.57,4.1
苗栗縣南庄鄉,9.9,7.36,7.3,5.62,4.55,6.39
苗栗縣大湖鄉,7.53,7.7,5.58,5.34,7.04,4.7
苗栗縣後龍鎮,9.4,7.81,6.4,5.95,5.82,5.3
苗栗縣泰安鄉,14.61,8.72,8.88,8.4,6.24,6.88
苗栗縣獅潭鄉,6.67,5.72,5.18,3.42,4.69,3.36
苗栗縣竹南鎮,11.39,10.1,7.55,7,6.45,5.15
苗栗縣苑裡鎮,10.06,8.35,7.1,5.68,4.49,3.82
苗栗縣苗栗市,9,7.75,6.46,5.61,5.47,5.75
苗栗縣西湖鄉,7.05,6.66,3.32,3.1,3.59,3.52
苗栗縣通霄鎮,9.38,7.71,6.59,4.78,4.42,3.94
苗栗縣造橋鄉,11.53,9.44,5.75,4.84,4.54,3.09
苗栗縣銅鑼鄉,11.01,7.65,6.05,6.32,6.02,4.01
苗栗縣頭份市,11.61,9.47,7.86,6.89,5.94,6.27
苗栗縣頭屋鄉,9.72,7.43,7.11,6.1,4.82,4.14
連江縣,13.2,13.08,10.93,10.2,11.15,8.97
連江縣北竿鄉,9.94,12.39,14.39,10.4,9.87,9.21
連江縣南竿鄉,14.35,12.09,10.75,9.93,10.9,9.89
連江縣東引鄉,14.95,17.97,13.67,11.11,16.27,7.47
連江縣莒光鄉,11,14.77,4.39,10.38,10.02,5.26
金門縣,10.75,10.21,9.45,9.1,8.69,7.41
金門縣烈嶼鄉,9.83,9.15,6.91,8.12,7.36,5.35
金門縣烏坵鄉,7.47,12.16,11.73,2.92,10.23,7.53
金門縣金城鎮,11.2,9.79,10.18,8.27,8.13,7.66
金門縣金寧鄉,9.89,9.62,9.7,10.03,9.31,7.34
金門縣金沙鎮,9.74,10.07,7.7,8.39,7.6,7.05
金門縣金湖鎮,12.14,11.97,10.38,10.41,10.15,8.25
雲林縣,7.1,6.85,6.55,5.95,6.22,5.9
雲林縣二崙鄉,7.1,5.26,6.14,5.13,5.33,5.03
雲林縣元長鄉,6.19,5.3,5.77,5.65,4.81,4.54
雲林縣北港鎮,6.88,6.36,6.02,6.38,5.75,5.63
雲林縣口湖鄉,6.91,6.9,5.49,5.45,5.07,5.74
雲林縣古坑鄉,6.13,5.95,5.91,4.65,6.2,5.05
雲林縣四湖鄉,5.92,5.57,4.6,4.6,4.1,4.16
雲林縣土庫鎮,8.12,7.42,5.5,6.51,5.44,6
雲林縣大埤鄉,6.11,7.06,6.56,5.91,5.34,6.05
雲林縣崙背鄉,5.65,6.41,6.51,5.46,5.05,5.02
雲林縣斗六市,7.2,7.05,6.93,6.03,6.41,5.72
雲林縣斗南鎮,6.18,6.01,6.2,5.14,6.38,5.47
雲林縣東勢鄉,5.65,6.81,4.73,4.29,4.81,5.68
雲林縣林內鄉,5.6,6.64,6.14,5.53,5.83,4.94
雲林縣水林鄉,6.22,5.58,5.28,4,4.21,4.25
雲林縣臺西鄉,6.42,6.2,6.15,5.18,5.55,5.01
雲林縣莿桐鄉,7.22,7.49,7.42,6.81,6.89,6.75
雲林縣虎尾鎮,7.4,7.29,7.12,6.87,6.71,5.95
雲林縣褒忠鄉,6.99,6.03,4.44,4.45,5.16,5.09
雲林縣西螺鎮,7.92,6.95,7.54,5.63,7.16,6.16
雲林縣麥寮鄉,11.4,10.88,9.76,9.68,10.71,11.04
高雄市,8.09,7.83,7.29,7.25,7.01,6.83
高雄市三民區,7.95,7.5,6.75,6.8,6.24,6.39
高雄市仁武區,10.76,10.42,9.68,9.42,9.2,9.37
高雄市內門區,6.38,4.99,5.34,6.47,6.71,5.96
高雄市六龜區,5.9,5.39,4.65,6,5,6.09
高雄市前金區,6.27,6.5,5.31,5.88,4.88,5.59
高雄市前鎮區,7.43,7.18,6.74,6.48,6.24,5.91
高雄市大寮區,8.39,8.3,8.35,7.91,7.86,7.32
高雄市大樹區,7.86,7.75,6.88,6.07,7.01,6.7
高雄市大社區,8.24,8.21,7.07,7.59,6.78,7.48
高雄市小港區,8.8,8.46,7.9,7.75,7.6,7.47
高雄市岡山區,8.33,7.92,7.17,7.74,7.2,6.82
高雄市左營區,8.09,7.96,6.97,6.51,6.44,6.04
高雄市彌陀區,7.65,8.35,8.02,6.58,7.05,7.6
高雄市新興區,6.1,5.26,5.12,5.56,5.17,4.57
高雄市旗山區,6.56,5.91,6.06,6.44,5.49,5.99
高雄市旗津區,11.26,10.03,9.31,8.32,8.33,7.48
高雄市杉林區,5.15,5.85,4.78,5.8,5.29,7.33
高雄市林園區,8.27,7.93,7.38,7.99,6.95,7
高雄市桃源區,12.25,12.07,11.34,15.52,11.68,13.29
高雄市梓官區,8.34,8.11,7.63,7.61,6.71,6.79
高雄市楠梓區,8.45,8.94,8.79,8.47,8.79,8.34
高雄市橋頭區,8.01,7.63,6.58,7.07,6.89,7.39
高雄市永安區,12.05,11.53,10.66,10.56,9.31,8.22
高雄市湖內區,8.26,8.43,7.74,7.61,7.3,8.43
高雄市燕巢區,7.24,6.3,7.23,6.44,6.91,6.62
高雄市田寮區,4.37,5,3.58,5.27,6.46,5.59
高雄市甲仙區,4.43,6.57,4.72,6.08,4.52,6.42
高雄市美濃區,5.68,5.34,5.39,5.51,4.65,4.6
高雄市苓雅區,6.43,6.67,5.85,6.01,5.58,5.59
高雄市茂林區,11.13,18.43,12.55,14.55,11.13,15.05
高雄市茄萣區,7.04,7,6.86,7.85,7.58,7.62
高雄市路竹區,7.75,8.35,7.66,7.97,7.92,7.11
高雄市那瑪夏區,14.24,14.32,14.18,14.01,14.61,14.34
高雄市阿蓮區,6.9,7.57,7.08,6.47,7.8,7.67
高雄市鳥松區,8.4,8.31,7.53,7.23,7.78,7.09
高雄市鳳山區,8.94,8.2,8.02,7.95,7.71,7.1
高雄市鹽埕區,5.67,5.2,5.6,4.71,5.72,4.75
高雄市鼓山區,8.92,8.25,7.11,6.97,6.73,6.68
